Sample	Ia 1022	Ib 1020	Ic 1018	IIa5 1036	IIa6 1036'	IIb5 1034	IIb6 1034'	IIc5 1032	IIc6 1032'	IIIa5 1050	IIIa6 1050'	IIIb5 1050	IIIb6 1050'	IIIc5 1050	IIIc6 1050'
4974.4	0.428586170955636	0.0652581465186597	0.0187542783627501	0.174512481639589	0.169147973733003	0.0465090279903821	0.023962271290337	0.00701221504814125	0	0.0402535886648756	0.0260038457966268	0	0	0	0
4975	0.433120009707114	0.0707516210695842	0.0211942323566776	0.16464882494287	0.173750347010926	0.0530923959105107	0.0270460775355698	0.00681520266357314	0	0.0340135053894704	0.015567783413705	0	0	0	0
4987	0.438486474087626	0.0731139787151803	0.0220060399439124	0.154890871325595	0.164262323465077	0.0251826071229873	0.054916952149683	0.00794059086024262	0	0.0370535175201933	0.0221466448095025	0	0	0	0
4990.2	0.428556636304169	0.0558687498561863	0.0062045343229908	0.18223908905931	0.192953621311384	0.0350067222636771	0.019647418091929	0.00322307067745297	0	0.0462455582108588	0.0300545999020423	0	0	0	0
4995	0.441403067775298	0.0654602991180533	0.0124253422413488	0.169689226702795	0.176945252452803	0.0413481674813162	0.0247438724188007	0.00526312294123897	0	0.0380790542096129	0.0246425946587327	0	0	0	0
5002	0.438102432869647	0.0639628629099774	0.0128308065925982	0.159935173575816	0.185567122442441	0.0427904499351999	0.0300990656398857	0.00539989479055013	0	0.0368094641041969	0.0245027271396873	0	0	0	0
5011	0.431625859286686	0.0640723586824594	0.0109954012411013	0.166446156708407	0.188489738322947	0.0430890721371986	0.0241155395525875	0.00500779717431835	0	0.03846599713824	0.0276920797560548	0	0	0	0
5042	0.365068827803034	0.0605589072524111	0.0128255512597187	0.185957216297744	0.200269787993372	0.0414188299273484	0.0455612439988104	0.0063941878744105	0	0.0370427412159578	0.0449027063771933	0	0	0	0
5049.2	0.411763414679447	0.0516038180273975	0.0113804637623408	0.150217056174577	0.222385068291225	0.0368362310740693	0.0463762340795923	0.00510601222808881	0	0.0289205613236459	0.0354111403596159	0	0	0	0
5056.4	0.419620969352339	0.063115354259578	0.0107262059849947	0.176217871304546	0.183258370339378	0.0449435638009566	0.0337685307570153	0.00563696357083765	0	0.0359727280507403	0.0267394425796145	0	0	0	0
5065	0.407548620206614	0.0767142623736785	0.0284650183606399	0.158126491550892	0.172663672181555	0.0539181418121724	0.0268700130975243	0.0121038266734163	0	0.0336759045728841	0.029914049170624	0	0	0	0
5077	0.431622547266349	0.0639678793843904	0.0193423048352212	0.163663198589221	0.179593043018301	0.04019159478608	0.0265763658938561	0.0082085425998422	0	0.0328572455542608	0.0339772780724791	0	0	0	0
5089	0.425934407543651	0.0796041655872753	0.02761100461116	0.156435417853997	0.166082586394487	0.045336511061603	0.0314222061033107	0.0108305269157038	0	0.0262431998342055	0.0304999740946065	0	0	0	0
5101	0.419649309297087	0.0758009641985767	0.0233598095793892	0.161250977243201	0.169160742876995	0.0500745817001802	0.0313768457260205	0.0110188447363066	0	0.0303809515821518	0.0279269730600922	0	0	0	0
5109	0.435574784540699	0.0687315595655517	0.0232752314592462	0.152506478130661	0.179631358983643	0.0445741996759087	0.02707713678845	0.00973978916448456	0	0.0283224611383208	0.0305670005530354	0	0	0	0
5121	0.424422874166644	0.0626294937112637	0.00984773278559667	0.147376637520955	0.209289661470522	0.0417852916012056	0.0205540368251546	0.0158150017439729	0	0.0322923156879054	0.0359869544867801	0	0	0	0
5132	0.416787558289802	0.0583810518274973	0.0167840752751045	0.150566669791837	0.221901434978199	0.0423107560026538	0.0221140420123141	0.00772632856136463	0	0.0294185918076154	0.0340094914536123	0	0	0	0
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
