Sample	fIa	fIb	fIc	fIIa	fIIa'	fIIb	fIIb'	fIIc	fIIc'	fIIIa	fIIIa'	fIIIb	fIIIb'	fIIIc	fIIIc'
GRU46e	0.950379023	0.002982099	0.002448531	0.035243747	0.006675219	0	0	0	0	0.002271381	0	0	0	0	0
Guo_2021 TS121_soil	0.183976261	0.053412463	0.011869436	0.044510386	0.424332344	0.020771513	0.053412463	0	0	0.041543027	0.166172107	0	0	0	0
Wang_2018 FJS18	0.829651097	0.015833328	0.007646362	0.130231165	0.005932721	0.002301313	0.000125768	0.000941503	3.57E-05	0.006577065	0.000724017	0	0	0	0
Naafs_2017_Soils_Italy-11	0.494881374	0.019698219	0	0.257144243	0.130512833	0.00523992	0.011062054	0	0	0.056280627	0.025180729	0	0	0	0
Naafs_2017_peats 383 Shippagan 527 NA	0.698035467	0.025818742	0.006139066	0.246291884	0	0.005340448	0	0.002182847	0	0.016191546	0	0	0	0	0
Wang_2019 12	0.584584585	0.037037037	0.087087087	0.239239239	0.02002002	0.006006006	0.003003003	0.006006006	0	0.017017017	0	0	0	0	0
GRU43c	0.949706263	0.008389787	0	0.029643253	0.012260697	0	0	0	0	0	0	0	0	0	0
Ding_2018 7 core	0.315681022	0.036678343	0.008036266	0.415825263	0.072120338	0.027405728	0.01957552	0.002678755	0	0.085514115	0.012569545	0.003090872	0.000824232	0	0
Naafs_2017_Soils_USA-IE3	0.365274889	0.093318402	0.021396577	0.249960006	0.136644803	0.027128993	0.026129153	0.001646403	0.001213139	0.048458913	0.027462273	0.001366448	0	0	0
GRU27c	0.957237535	0.005611946	0.004985836	0.025073898	0.007090785	0	0	0	0	0	0	0	0	0	0
De Jonge 2019 3B	0.367	0.032	0.026	0.291	0.113	0.016	0.006	0.004	0	0.12	0.025	0	0	0	0
Guo_2020 S11.4	0.183673469	0.112244898	0.030612245	0.183673469	0.153061224	0.112244898	0.081632653	0.010204082	0	0.06122449	0.06122449	0	0.010204082	0	0
Naafs_2017_peats 134 Roca Fuerte NA	0.920692884	0.013994878	0.010793776	0.051108907	0	0.001222934	0	0.000381673	0	0.001804948	0	0	0	0	0
Dearing Crampton-Flood 2020 IndiaG14	0.575757576	0.191919192	0.04040404	0.04040404	0.070707071	0.01010101	0.050505051	0	0.01010101	0	0.01010101	0	0	0	0
SFS1C	0.751033769	0.073652951	0.007785416	0.032608721	0.114085589	0.001176776	0.008895137	0	0	0.003596932	0.007164708	0	0	0	0
Naafs_2017_peats 140 Buena Vista del Maquía 30-40cm	0.92509165	0.020717887	0.009945164	0.039813523	0	0.001013596	0	4.35E-05	0	0.003374647	0	0	0	0	0
Chen_2021 TE1-16	0.061247815	0.006504193	0	0.058816598	0.351473852	0.008405177	0.013122287	0	0	0.114373245	0.38127688	0.002745429	0.002034524	0	0
GRU43 0-5	0.94414685	0.011678394	0.001700382	0.027179775	0.012123863	0	0	0	0	0.001890506	0.001280231	0	0	0	0
Vequaud_2021 4	0.174657746	0.072099064	0.015411449	0.1790305	0.19075324	0.072831565	0.077783263	0.012372183	0	0.099967733	0.095651145	0.005143474	0.004298638	0	0
Dearing Crampton-Flood 2020 IndiaETH7	0.408163265	0.204081633	0.020408163	0.030612245	0.224489796	0.010204082	0.071428571	0	0	0	0.030612245	0	0	0	0
Naafs_2017_Soils_Brazil-12	0.589487244	0.22263295	0.071130527	0.03094458	0.0425663	0.017782632	0.015262259	0.001414209	0.001064157	0.00229634	0.005418802	0	0	0	0
Naafs_2017_peats 423 M3 NA	0.478186611	0.027388004	0.028865581	0.37953257	0	0.014308681	0	0.010100433	0	0.060703384	0	0.000605618	0	0.000309118	0
Naafs_2017_peats 205 Zalama ZAL 20	0.528080857	0.014361515	0.007660174	0.408792381	0	0.006643979	0	0.002701464	0	0.031549246	0	0.000126744	8.36E-05	0	0
Naafs_2017_peats 287 Bodmin Moor Bodmin moor btm	0.479433298	0.035322774	0.007761876	0.366189041	0	0.010822529	0	0.004434529	0	0.094115299	0	0.001920655	0	0	0
Naafs_2017_peats 415 001A NA	0.443119198	0.0342546	0.017110683	0.394984363	0	0.021004477	0.003128332	0.006107125	0.000847343	0.065898898	0.012799787	0.000745193	0	0	0
Vequaud_2021 6	0.283274823	0.014798345	0.001856461	0.344998742	0.059737242	0.009989557	0.00127562	0.003811645	0	0.138767399	0.138892218	0.001535079	0.001062869	0	0
T4S1	0.943800944	0.006590146	0.001342901	0.036557036	0.008684454	0.003024519	0	0	0	0	0	0	0	0	0
"Naafs_2017_peats 15 Fransne 2008&2010, French Jura 5-7 cm"	0.594198055	0.027070297	0.011842958	0.326574765	0	0.003809009	0	0.004130578	0	0.032374338	0	0	0	0	0
Wang_2020_74	0.156686743	0.041999611	0.004924256	0.046886274	0.48719865	0.013776383	0.049154478	0.000884823	0.004407085	0.023978192	0.161910158	0.001456619	0.006736727	0	0
